This ia a summary of arc information.
Created by Yang Fan (yfan_cge@hust.edu.cn)
Record time: 2024-11-20 21:06:54.510318 

Number of Arcs: 124 
-------------------Please see more details in below:---------------------- 

Arc NO: 0;  315576000 ====> 315597595 ; Length: 4320 
Arc NO: 84;  317398485 ====> 317420080 ; Length: 4320 
Arc NO: 85;  317420085 ====> 317441680 ; Length: 4320 
Arc NO: 86;  317441685 ====> 317463280 ; Length: 4320 
Arc NO: 87;  317463285 ====> 317484880 ; Length: 4320 
Arc NO: 88;  317484885 ====> 317506480 ; Length: 4320 
Arc NO: 89;  317506485 ====> 317528080 ; Length: 4320 
Arc NO: 90;  317528085 ====> 317549680 ; Length: 4320 
Arc NO: 91;  317549685 ====> 317571280 ; Length: 4320 
Arc NO: 92;  317571285 ====> 317592880 ; Length: 4320 
Arc NO: 93;  317592885 ====> 317614480 ; Length: 4320 
Arc NO: 94;  317614485 ====> 317636080 ; Length: 4320 
Arc NO: 95;  317636085 ====> 317657680 ; Length: 4320 
Arc NO: 96;  317657685 ====> 317679280 ; Length: 4320 
Arc NO: 97;  317679285 ====> 317700880 ; Length: 4320 
Arc NO: 98;  317700885 ====> 317722480 ; Length: 4320 
Arc NO: 99;  317722485 ====> 317744080 ; Length: 4320 
Arc NO: 100;  317744085 ====> 317765680 ; Length: 4320 
Arc NO: 101;  317765685 ====> 317787280 ; Length: 4320 
Arc NO: 102;  317787285 ====> 317808880 ; Length: 4320 
Arc NO: 103;  317808885 ====> 317830480 ; Length: 4320 
Arc NO: 104;  317830485 ====> 317852080 ; Length: 4320 
Arc NO: 105;  317852085 ====> 317873680 ; Length: 4320 
Arc NO: 106;  317873685 ====> 317895280 ; Length: 4320 
Arc NO: 107;  317895285 ====> 317916880 ; Length: 4320 
Arc NO: 108;  317916885 ====> 317938480 ; Length: 4320 
Arc NO: 109;  317938485 ====> 317960080 ; Length: 4320 
Arc NO: 110;  317960085 ====> 317981680 ; Length: 4320 
Arc NO: 111;  317981685 ====> 318003280 ; Length: 4320 
Arc NO: 112;  318003285 ====> 318024880 ; Length: 4320 
Arc NO: 113;  318024885 ====> 318046480 ; Length: 4320 
Arc NO: 114;  318046485 ====> 318068080 ; Length: 4320 
Arc NO: 115;  318068085 ====> 318089680 ; Length: 4320 
Arc NO: 116;  318089685 ====> 318111280 ; Length: 4320 
Arc NO: 117;  318111285 ====> 318132880 ; Length: 4320 
Arc NO: 118;  318132885 ====> 318154480 ; Length: 4320 
Arc NO: 119;  318154485 ====> 318176080 ; Length: 4320 
Arc NO: 120;  318176085 ====> 318197680 ; Length: 4320 
Arc NO: 121;  318197685 ====> 318219280 ; Length: 4320 
Arc NO: 122;  318219285 ====> 318240880 ; Length: 4320 
Arc NO: 123;  318240885 ====> 318254395 ; Length: 2703 
